Manufacturer,BAe,BAe,BAe,BAe,CADAIR,CADAIR,EMBRAER,FOKKER,FOKKER,FOKKER
MAC (m),3.17,3.17,3.17,3.17,3.15,3.15,3.13,3.80,3.80,4.18
Aspect Ratio,8.89,8.89,8.89,8.89,7.72,7.72,7.85,8.43,8.43,8.48
Taper Ratio,0.356,0.356,0.356,0.356,0.288,0.288,0.231,0.235,0.235,0.235
Average (t/c) %,12.98,12.98,12.98,12.98,10.83,10.83,11.00,10.28,10.28,10.28
1/4 Chord Sweep (§),15.00,15.00,15.00,15.00,24.75,24.75,22.73,17.45,17.45,17.45
High Lift Devices:,,,,,,,,,,
Trailing Edge Flaps Type,F1,F1,F1,F1,S2,S2,S2,F2,F2,F2
Flap Span/Wing Span,0.780,0.780,0.780,0.780,0.660,0.660,0.720,0.580,0.580,0.616
Area (m2),19.51,19.51,19.51,19.51,10.60,10.60,8.36,17.08,17.08,17.08
Leading Edge Flaps Type,none,none,none,none,slats,slats,none,none,none,none
Area (mý),,,,,,,,,,
Vertical Tail:,,,,,,,,,,
Area (mý),15.51,15.51,15.51,15.51,9.18,9.18,7.20,12.30,12.30,12.30
Height (m),4.85,4.85,4.85,4.85,2.60,2.60,3.10,3.30,3.30,3.30
Aspect Ratio,1.52,1.52,1.52,1.52,0.74,0.74,1.33,0.89,0.89,0.89
Taper Ratio,0.670,0.670,0.670,0.670,0.730,0.730,0.600,0.740,0.740,0.740
1/4 Chord Sweep (§),36.00,36.00,36.00,36.00,41.00,41.00,32.00,41.00,41.00,41.00
Tail Arm (m),12.85,14.35,15.30,15.30,10.70,10.70,11.50,11.40,13.60,15.70
Sv/S,0.201,0.201,0.201,0.201,0.168,0.168,0.141,0.132,0.132,0.108
SvLv/Sb,0.098,0.110,0.117,0.117,0.088,0.088,0.081,0.053,0.064,0.054
Horizontal Tail:,,,,,,,,,,
Area (m2),15.61,15.61,15.61,15.61,9.44,9.44,11.20,21.72,21.72,21.72
Span (m),11.09,11.09,11.09,11.09,6.35,6.35,7.60,10.04,10.04,10.04
Aspect Ratio,7.88,7.88,7.88,7.88,4.27,4.27,5.16,4.64,4.64,4.64
Taper Ratio,0.410,0.410,0.410,0.410,0.550,0.550,0.560,0.390,0.390,0.390
1/4 Chord Sweep (§),20.00,20.00,20.00,20.00,30.00,30.00,17.00,26.00,26.00,26.00
Tail Arm  (m),10.85,12.35,13.45,13.45,12.90,12.90,12.90,14.40,16.00,17.30
Sh/S,0.202,0.202,0.202,0.202,0.173,0.173,0.219,0.232,0.232,0.191
ShLh/Sc,0.691,0.787,0.857,0.857,0.709,0.709,0.902,0.880,0.978,0.789
Undercarriage:,,,,,,,,,,
Track (m),4.72,4.72,4.72,4.72,,,4.10,5.04,5.04,5.04
Wheelbase (m),10.09,11.20,12.52,12.52,11.39,11.39,14.45,11.54,14.01,19.10
Turning radius (m),18.03,18.03,18.67,18.67,22.86,22.86,,17.78,20.07,
No. of wheels (nose;main),2;4,2;4,2;4,2;4,2;4,2;4,2;4,2;4,2;4,2;4
Main Wheel diameter (m),,,,,0.950,0.950,0.980,1.016,1.016,1.016
Main Wheel width (m),0.190,0.190,0.190,0.190,0.300,0.300,0.310,0.356,0.356,0.356
Nacelle:,,,,,,,,,,
Length (m),2.60,2.60,2.60,2.60,3.80,3.80,4.00,5.10,5.10,4.60
Max. width (m),1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.70,1.70,1.95
Spanwise location,0.315/0.50,0.315/0.50,0.315/0.50,0.315/0.50,-,-,,,,
,,,,,,,,,,
PERFORMANCE,,,,,,,,,,
Loadings:,,,,,,,,,,
Max. Power Load (kg/kN),374.25,338.66,355.05,369.62,262.48,282.11,306.51,298.21,349.76,
Max. Wing Load (kg/mý),528.11,545.72,572.12,595.60,394.63,424.15,375.15,392.94,460.86,485.44
Thrust/Weight Ratio,0.2724,0.3010,0.2871,0.2758,0.3884,0.3613,0.3326,0.3418,0.2915,
Take-off (m):,,,,,,,,,,
ISA sea level,1440,1646,1829,1829,1605,1605,1500,1296,1856,1825
ISA +20§C SL.,1791,1996,2118,2118,,,,1434,2307,
ISA 5000ft,1840,2103,2316,2316,,,,1639,2613,
ISA +20§C 5000ft,2404,2652,3033,3033,,,,1965,3033,
Landing (m):,,,,,,,,,,
ISA sea level.,1170,1192,1265,1265,1440,1440,1290,1210,1321,1430
ISA +20§C SL.,1170,1192,1265,1265,,,,1210,1321,
ISA 5000ft,1323,1335,1402,1402,,,,1335,1467,
ISA +20§C 5000ft,1323,1335,1402,1402,,,,1335,1458,
Speeds (kt/Mach):,,,,,,,,,,
V2,119,124,127,127,,,,126,136,
Vapp,121,122,123,123,138,138,126,119,128,
Vno/Mmo,300/M0.73,300/M0.73,305/M0.73,305/M0.73,335/M0.85,335/M0.85,320/M0.76,320/M0.77,320/M0.77,320/M0.77
Vne/Mme,,,,,,,,380/M0.84,380/M0.84,380/M0.84
CLmax (T/O),3.25,3.09,3.09,3.22,,,,2.16,2.17,
CLmax (L/D @ MLM),3.42,3.43,3.51,3.51,2.00,2.10,2.35,2.63,2.59,
Max. cruise :,,,,,,,,,,
Speed (kt),432,432,432,432,459,459,410,461,456,
Altitude (ft),29000,29000,29000,29000,37000,37000,37000,26000,26000,
Fuel consumption (kg/h),2150,2237,2310,2380,,,1022,2391,2565,
Long range cruise:,,,,,,,,,,
Speed (kt),356,356,371,371,424,424,367,401,414,
Altitude (ft),29000,29000,29000,29000,37000,37000,32000,35000,35000,
Fuel consumption (kg/h),1635,1744,1944,2028,,,880,1475,1716,
Range (nm):,,,,,,,,,,
Max. payload,1105,1148,1166,1470,,,850,1085,1290,
Design range,1952,1782,1671,1794,980,1620,1390,1080,1290,1700
Max. fuel (+ payload),1613,1454,1138,1328,,,1640,,,
Ferry range,,,,,,,,,,
Design Parameters:,,,,,,,,,,
W/SCLmax,1513,1562,1598,1664,1939,1982,1563,1467,1746,
W/aCLtoST,2117,1977,2121,2299,1902,2090,1791,1635,2282,
Fuel/pax/nm (kg),0.0791,0.0662,0.0582,0.0434,,,,0.0981,0.0604,0.0462
Seats x Range (seats.nm),136640,151470,167100,206310,,,,75600,138030,232900
