Date,Value
2008-09-30,335700.0
2008-08-31,331900.0
2008-07-31,329200.0
2008-06-30,327400.0
2008-05-31,326400.0
2008-04-30,327200.0
2008-03-31,331800.0
2008-02-29,339400.0
2008-01-31,343400.0
2007-12-31,342600.0
2007-11-30,341900.0
2007-10-31,341900.0
2007-09-30,339300.0
2007-08-31,336200.0
2007-07-31,334700.0
2007-06-30,335700.0
2007-05-31,337400.0
2007-04-30,336200.0
2007-03-31,331900.0
2007-02-28,329600.0
2007-01-31,329400.0
2006-12-31,328700.0
2006-11-30,327900.0
2006-10-31,327900.0
2006-09-30,326400.0
2006-08-31,324500.0
2006-07-31,326300.0
2006-06-30,328800.0
2006-05-31,324300.0
2006-04-30,316800.0
2006-03-31,313700.0
2006-02-28,314100.0
2006-01-31,312900.0
2005-12-31,311200.0
2005-11-30,310800.0
2005-10-31,312500.0
2005-09-30,313600.0
2005-08-31,312700.0
2005-07-31,309500.0
2005-06-30,306900.0
2005-05-31,307700.0
2005-04-30,310800.0
2005-03-31,312600.0
2005-02-28,311100.0
2005-01-31,310300.0
2004-12-31,310900.0
2004-11-30,310300.0
2004-10-31,306500.0
2004-09-30,302800.0
2004-08-31,299300.0
2004-07-31,294900.0
2004-06-30,289700.0
2004-05-31,286900.0
2004-04-30,285300.0
2004-03-31,282800.0
2004-02-29,278400.0
2004-01-31,271900.0
2003-12-31,265900.0
2003-11-30,263700.0
2003-10-31,263800.0
2003-09-30,262800.0
2003-08-31,261600.0
2003-07-31,261700.0
2003-06-30,263200.0
2003-05-31,264700.0
2003-04-30,265800.0
2003-03-31,266200.0
2003-02-28,265900.0
2003-01-31,265100.0
2002-12-31,264500.0
2002-11-30,263800.0
2002-10-31,263100.0
2002-09-30,262300.0
2002-08-31,261900.0
2002-07-31,263200.0
2002-06-30,265400.0
2002-05-31,266000.0
2002-04-30,264300.0
2002-03-31,261900.0
2002-02-28,260600.0
2002-01-31,259400.0
2001-12-31,257600.0
2001-11-30,255700.0
2001-10-31,254300.0
2001-09-30,253800.0
2001-08-31,253900.0
2001-07-31,253000.0
2001-06-30,251900.0
2001-05-31,252300.0
2001-04-30,253300.0
2001-03-31,254000.0
2001-02-28,255600.0
2001-01-31,258700.0
2000-12-31,261000.0
2000-11-30,260300.0
2000-10-31,257200.0
2000-09-30,253200.0
2000-08-31,249400.0
2000-07-31,247300.0
2000-06-30,246000.0
2000-05-31,243500.0
2000-04-30,241300.0
2000-03-31,241900.0
2000-02-29,243900.0
2000-01-31,245600.0
1999-12-31,246400.0
1999-11-30,246700.0
1999-10-31,247300.0
1999-09-30,249800.0
1999-08-31,251600.0
1999-07-31,251300.0
1999-06-30,251100.0
1999-05-31,251900.0
1999-04-30,250900.0
1999-03-31,247000.0
1999-02-28,241600.0
1999-01-31,237100.0
1998-12-31,234200.0
1998-11-30,232300.0
1998-10-31,232000.0
1998-09-30,231100.0
1998-08-31,229300.0
1998-07-31,226300.0
1998-06-30,221700.0
1998-05-31,217100.0
1998-04-30,214400.0
1998-03-31,212300.0
1998-02-28,210000.0
1998-01-31,207300.0
1997-12-31,204300.0
1997-11-30,202200.0
1997-10-31,201300.0
1997-09-30,201300.0
1997-08-31,201300.0
1997-07-31,200000.0
1997-06-30,196500.0
1997-05-31,192400.0
1997-04-30,189100.0
1997-03-31,186900.0
1997-02-28,185000.0
1997-01-31,183900.0
1996-12-31,183000.0
1996-11-30,181500.0
1996-10-31,179600.0
1996-09-30,178700.0
1996-08-31,178800.0
1996-07-31,179100.0
1996-06-30,178900.0
1996-05-31,178800.0
1996-04-30,178500.0
